"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,
,,,,,,,
,,,,,,,
solution_group,solution_priority_action_area,solution_name,stakeholder,state,annual_us_dollars_cost,annual_us_dollars_gross_financial_benefit,annual_us_dollars_net_financial_benefit
Prevention,Refine Product Management,Assisted Distressed Sales,Solution Providers,Tennessee,0,134077.0481,134077.0481
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),Solution Providers,Idaho,30954827.17,43027209.76,12072382.59
Prevention,Refine Product Management,Markdown Alert Applications,Solution Providers,Wisconsin,0,17304079.75,17304079.75
Rescue,Strengthen Food Rescue,Donation Transportation,Government,South Carolina,565452.4366,0,-565452.4366
Rescue,Strengthen Food Rescue,Donation Education,Government,Idaho,305659.7916,0,-305659.7916
Recycling,Recycle Anything Remaining,Centralized Composting,Producers,Minnesota,0,7911.778876,7911.778876
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Producers,North Carolina,22725048.04,111929331.8,89204283.78
Prevention,Refine Product Management,Markdown Alert Applications,Retailers,Idaho,1557892.494,5519239.452,3961346.959
Prevention,Refine Product Management,Dynamic Pricing,Solution Providers,Rhode Island,0,2622860.893,2622860.893
Rescue,Strengthen Food Rescue,Donation Education,Government,Virginia,1551067.429,0,-1551067.429
Rescue,Strengthen Food Rescue,Donation Education,Consumers,Delaware,0,3387251.387,3387251.387
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Government,Wisconsin,281397.8945,0,-281397.8945
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Manufacturers,Arizona,7108557.615,0,-7108557.615
Prevention,Reshape Consumer Environments,Trayless,Foodservice,Massachusetts,457174.3315,8214584.585,7757410.254
Recycling,Recycle Anything Remaining,Centralized Composting,Foodservice,Rhode Island,0,6637.586288,6637.586288
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Consumers,Florida,0,75972011.67,75972011.67
Prevention,Enhance Product Distribution,Intelligent Routing,Manufacturers,Oklahoma,148321.8454,494234.8193,345912.9739
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Consumers,Arkansas,0,15031401.77,15031401.77
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Government,Iowa,86.18733132,86.18733132,0
Prevention,Reshape Consumer Environments,Standardized Date Labels,Consumers,Kansas,0,18451707.05,18451707.05
Prevention,Reshape Consumer Environments,Small Plates,Solution Providers,Wisconsin,0,613050.2268,613050.2268
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Solution Providers,Kentucky,0,4441362.861,4441362.861
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Consumers,Indiana,0,29788.40072,29788.40072
Prevention,Optimize The Harvest,Partial Order Acceptance,Manufacturers,Nevada,0,105421.5041,105421.5041
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Consumers,South Carolina,0,14161.85933,14161.85933
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Government,Oregon,225662.2121,0,-225662.2121
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Foodservice,North Dakota,31609.7053,47811.10623,16201.40093
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Retailers,Wyoming,7985.007829,5541.348275,-2443.659554
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Consumers,Montana,0,4055552.867,4055552.867
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Consumers,Kansas,0,58526276.29,58526276.29
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Government,Arkansas,163462.0802,0,-163462.0802
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Foodservice,Utah,36552.51942,246552.1902,209999.6708
Prevention,Enhance Product Distribution,Intelligent Routing,Foodservice,Washington,530551.5836,1767892.419,1237340.835
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Government,Montana,171872.4372,0,-171872.4372
Prevention,Optimize The Harvest,Partial Order Acceptance,Retailers,New Mexico,153931.4259,161245.999,7314.573108
Rescue,Strengthen Food Rescue,Donation Transportation,Solution Providers,Minnesota,3359271.628,0,-3359271.628
Prevention,Reshape Consumer Environments,Package Design,Consumers,New Mexico,0,16867888.64,16867888.64
Recycling,Recycle Anything Remaining,Livestock Feed,Retailers,Iowa,2810.865322,2023.414315,-787.4510075
Rescue,Strengthen Food Rescue,Donation Transportation,Government,Illinois,1504428.925,0,-1504428.925
Prevention,Enhance Product Distribution,Decreased Transit Time,Retailers,North Dakota,1450328.961,7630014.701,6179685.74
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Retailers,Ohio,202769.0409,140715.4381,-62053.60277
Prevention,Reshape Consumer Environments,Trayless,Foodservice,Vermont,104065.9007,1869873.447,1765807.547
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Retailers,Arizona,0,4095751.114,4095751.114
Prevention,Refine Product Management,Markdown Alert Applications,Retailers,Georgia,10269376.92,36381939.36,26112562.45
Rescue,Strengthen Food Rescue,Donation Education,Producers,Virginia,646370.4625,0,-646370.4625
Prevention,Reshape Consumer Environments,Package Design,Manufacturers,Arizona,12927669.9,0,-12927669.9
Recycling,Recycle Anything Remaining,Co-digestion At Wastewater Treatment Plants,Government,Kentucky,3646010.628,4613390.138,967379.5098
Prevention,Reshape Consumer Environments,Standardized Date Labels,Retailers,Alabama,6365.293957,5243195.447,5236830.153
Prevention,Optimize The Harvest,Buyer Specification Expansion,Retailers,West Virginia,0,6412.131308,6412.131308
Prevention,Refine Product Management,Temperature Monitoring (foodservice),Foodservice,Arizona,4580.220842,346834.6583,342254.4374
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Foodservice,Nevada,59299.03627,399980.8359,340681.7996
Prevention,Enhance Product Distribution,Decreased Transit Time,Manufacturers,New York,983360.7828,5173348.551,4189987.768
Prevention,Reshape Consumer Environments,Portion Sizes,Consumers,Connecticut,0,76509132.11,76509132.11
Recycling,Recycle Anything Remaining,Home Composting,Government,Minnesota,47795.3361,139881.017,92085.68086
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),Solution Providers,Massachusetts,23869146.42,33178113.52,9308967.1
Prevention,Reshape Consumer Environments,Portion Sizes,Consumers,North Carolina,0,264601787.7,264601787.7
Prevention,Optimize The Harvest,Buyer Specification Expansion,Retailers,Wisconsin,0,10269602.98,10269602.98
Rescue,Strengthen Food Rescue,Donation Transportation,Manufacturers,Wyoming,301.7992693,215.9330417,-85.86622766
Prevention,Optimize The Harvest,Buyer Specification Expansion,Manufacturers,Washington,0,1074941.439,1074941.439
Prevention,Refine Product Management,Markdown Alert Applications,Retailers,Missouri,5635020.612,19963526.5,14328505.89
Rescue,Strengthen Food Rescue,Donation Education,Retailers,California,685784.871,475913.4735,-209871.3975
Prevention,Reshape Consumer Environments,K-12 Education Campaigns,Government,Mississippi,22356.02274,271104.9738,248748.9511
Prevention,Optimize The Harvest,Partial Order Acceptance,Foodservice,North Carolina,943380.5283,988208.4496,44827.92129
Rescue,Strengthen Food Rescue,Donation Transportation,Government,Utah,337346.7173,0,-337346.7173
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Foodservice,North Dakota,8769.520307,59151.72124,50382.20093
Prevention,Enhance Product Distribution,First Expired First Out,Manufacturers,Massachusetts,106895.5465,418053.194,311157.6475
Prevention,Refine Product Management,Increased Delivery Frequency,Retailers,Kentucky,1594022.091,6781890.418,5187868.326
Recycling,Recycle Anything Remaining,Centralized Composting,Manufacturers,Kansas,0,15817.42772,15817.42772
Prevention,Refine Product Management,Temperature Monitoring (foodservice),Solution Providers,Tennessee,0,4867.287117,4867.287117
Rescue,Strengthen Food Rescue,Donation Education,Solution Providers,California,86220644.43,0,-86220644.43
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Foodservice,Delaware,2680.29909,13607.93587,10927.63678
Recycling,Recycle Anything Remaining,Co-digestion At Wastewater Treatment Plants,Government,Arizona,5598547.07,7083984.242,1485437.173
Prevention,Enhance Product Distribution,Intelligent Routing,Retailers,South Dakota,2015687.387,6716629.561,4700942.174
Prevention,Enhance Product Distribution,Intelligent Routing,Retailers,Iowa,6446456.496,21480741.78,15034285.28
Rescue,Strengthen Food Rescue,Donation Transportation,Manufacturers,Colorado,31647.87219,22643.59791,-9004.274279
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Producers,Colorado,1839521.999,1955693.199,116171.2001
Prevention,Reshape Consumer Environments,Portion Sizes,Foodservice,Alaska,49886.66427,927626.5506,877739.8863
Prevention,Reshape Consumer Environments,Meal Kits,Retailers,Louisiana,0,26429.76213,26429.76213
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Solution Providers,Georgia,12439510.27,0,-12439510.27
Prevention,Reshape Consumer Environments,Buffet Signage,Foodservice,Georgia,1554.28889,4952673.759,4951119.47
Prevention,Reshape Consumer Environments,Meal Kits,Retailers,Washington,0,39343.76841,39343.76841
Prevention,Refine Product Management,Minimized On Hand Inventory,Retailers,Idaho,254690.8111,3171349.355,2916658.543
Rescue,Strengthen Food Rescue,Donation Education,Foodservice,Maine,90819.30763,137368.3027,46548.99503
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Producers,Indiana,0,305.1131425,305.1131425
Prevention,Refine Product Management,Waste Tracking (foodservice),Solution Providers,Utah,0,10221975.59,10221975.59
Prevention,Enhance Product Distribution,Decreased Transit Time,Producers,Washington,7068491.857,37186526.8,30118034.95
Prevention,Optimize The Harvest,Gleaning,Producers,Michigan,2192.7839,0,-2192.7839
Rescue,Strengthen Food Rescue,Donation Transportation,Manufacturers,Oregon,72947.39558,52192.8136,-20754.58198
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Retailers,Kentucky,510408.39,0,-510408.39
Recycling,Recycle Anything Remaining,Co-digestion At Wastewater Treatment Plants,Government,Pennsylvania,10115579.04,12799499.88,2683920.837
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Foodservice,Hawaii,18659.69344,125862.4128,107202.7193
Rescue,Strengthen Food Rescue,Donation Transportation,Government,Virginia,1025746.783,0,-1025746.783
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Foodservice,Massachusetts,0,482029.9643,482029.9643
Prevention,Reshape Consumer Environments,Small Plates,Solution Providers,West Virginia,0,209486.7194,209486.7194
Prevention,Enhance Product Distribution,Decreased Transit Time,Foodservice,Indiana,424832.0616,2234992.862,1810160.8
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Retailers,Arizona,0,9273.385105,9273.385105
Recycling,Recycle Anything Remaining,Co-digestion At Wastewater Treatment Plants,Government,Maine,1177313.173,1489684.353,312371.1794
Prevention,Refine Product Management,Assisted Distressed Sales,Manufacturers,Idaho,62340.37235,3681050.558,3618710.186
Prevention,Reshape Consumer Environments,K-12 Education Campaigns,Foodservice,West Virginia,69.40132887,69.40132887,0
Rescue,Strengthen Food Rescue,Donation Education,Manufacturers,California,1061537.21,759514.6241,-302022.5859
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Consumers,North Carolina,0,41702484.25,41702484.25
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Consumers,New Jersey,0,38900271.63,38900271.63
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Consumers,Maryland,0,12186852.96,12186852.96
Recycling,Recycle Anything Remaining,Community Composting,Consumers,Washington,41617.38608,0,-41617.38608
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),Manufacturers,Maine,0,6790671.808,6790671.808
Prevention,Optimize The Harvest,Partial Order Acceptance,Retailers,New Hampshire,3222.857762,3376.002766,153.1450033
Prevention,Optimize The Harvest,Partial Order Acceptance,Retailers,Illinois,1226017.561,1284275.938,58258.37725
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Manufacturers,California,220674.3829,157889.3508,-62785.03206
Prevention,Refine Product Management,Temperature Monitoring (foodservice),Solution Providers,Alabama,0,3282.143511,3282.143511
Rescue,Strengthen Food Rescue,Donation Education,Foodservice,Massachusetts,623102.873,942471.2243,319368.3513
Rescue,Strengthen Food Rescue,Donation Transportation,Government,Michigan,1041682.487,0,-1041682.487
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),Manufacturers,New Hampshire,0,317726.9387,317726.9387
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Producers,South Carolina,2807820.035,13829560.22,11021740.18
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Retailers,Kentucky,955952.2332,18897378.63,17941426.39
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Manufacturers,Washington,0,8766.055917,8766.055917
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Solution Providers,Montana,72791.68693,0,-72791.68693
Prevention,Optimize The Harvest,Partial Order Acceptance,Manufacturers,Kansas,0,612386.7655,612386.7655
Prevention,Optimize The Harvest,Buyer Specification Expansion,Manufacturers,Arkansas,0,897993.1196,897993.1196
Prevention,Optimize The Harvest,Buyer Specification Expansion,Manufacturers,Maryland,0,940838.6446,940838.6446
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Foodservice,West Virginia,0,3292.864969,3292.864969
Rescue,Strengthen Food Rescue,Donation Education,Solution Providers,New Mexico,961346.9306,0,-961346.9306
Prevention,Refine Product Management,Dynamic Pricing,Retailers,Kansas,9744176.08,10127780.79,383604.7111
Prevention,Reshape Consumer Environments,Buffet Signage,Solution Providers,Delaware,0,62.24430365,62.24430365
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Government,Wisconsin,191625.2285,0,-191625.2285
Prevention,Reshape Consumer Environments,Buffet Signage,Foodservice,Washington,1156.857286,3686275.285,3685118.428
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Solution Providers,Utah,0,2408834.944,2408834.944
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Producers,Idaho,566337.7161,0,-566337.7161
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Retailers,Arizona,0,75800739.16,75800739.16
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Solution Providers,Georgia,11634457.43,16035034.74,4400577.307
Prevention,Reshape Consumer Environments,Portion Sizes,Foodservice,Delaware,94535.9556,1757865.828,1663329.873
Prevention,Enhance Product Distribution,First Expired First Out,Retailers,South Dakota,1428060.839,5584941.697,4156880.858
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Retailers,Indiana,281140.5249,1427356.465,1146215.94
Prevention,Reshape Consumer Environments,Package Design,Manufacturers,Oregon,6570513.228,0,-6570513.228
Prevention,Refine Product Management,Temperature Monitoring (foodservice),Foodservice,Texas,19939.77206,1509928.073,1489988.301
Prevention,Enhance Product Distribution,First Expired First Out,Foodservice,Hawaii,26496.66684,103624.6744,77128.00755
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Foodservice,Virginia,404755.9817,612211.6942,207455.7126
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),Manufacturers,New Jersey,0,37692997.21,37692997.21
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Producers,Idaho,0,14306.72167,14306.72167
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Manufacturers,Alabama,15827.41074,11324.28501,-4503.125726
Prevention,Reshape Consumer Environments,Small Plates,Solution Providers,Louisiana,0,570851.8324,570851.8324
Prevention,Refine Product Management,Enhanced Demand Planning,Solution Providers,Virginia,0,7598097.471,7598097.471
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Foodservice,Illinois,220380.1468,583293.1449,362912.9981
Prevention,Enhance Product Distribution,Intelligent Routing,Manufacturers,Alabama,268937.8524,896148.8479,627210.9955
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Foodservice,Hawaii,25336.49226,67059.58984,41723.09757
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Solution Providers,New Mexico,2107506.923,2904643.119,797136.196
Prevention,Refine Product Management,Temperature Monitoring (foodservice),Foodservice,Virginia,6088.467472,461045.7897,454957.3222
Prevention,Reshape Consumer Environments,Package Design,Consumers,Missouri,0,54792706.41,54792706.41
Rescue,Strengthen Food Rescue,Donation Value-added Processing,Solution Providers,Ohio,125605.4613,0,-125605.4613
Recycling,Recycle Anything Remaining,Centralized Composting,Manufacturers,North Carolina,0,42689.83477,42689.83477
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Consumers,Alabama,0,7564304.96,7564304.96
Prevention,Refine Product Management,Enhanced Demand Planning,Solution Providers,Montana,0,639414.2515,639414.2515
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Government,Florida,363.2925323,363.2925323,0
Prevention,Refine Product Management,Enhanced Demand Planning,Solution Providers,Texas,0,24491070.03,24491070.03
Prevention,Refine Product Management,Waste Tracking (foodservice),Foodservice,North Carolina,34000294.27,118565244.3,84564949.99
Prevention,Refine Product Management,Temperature Monitoring (foodservice),Solution Providers,Wyoming,0,346.9925714,346.9925714
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Foodservice,Tennessee,93224.8376,628815.4212,535590.5836
Prevention,Enhance Product Distribution,Decreased Transit Time,Manufacturers,Texas,875001.7578,4603284.12,3728282.362
Rescue,Strengthen Food Rescue,Donation Education,Producers,Illinois,330030.8671,0,-330030.8671
Rescue,Strengthen Food Rescue,Donation Education,Producers,Maine,325076.2271,0,-325076.2271
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Foodservice,Georgia,0,22856.31081,22856.31081
Recycling,Recycle Anything Remaining,Co-digestion At Wastewater Treatment Plants,Government,Tennessee,5697780.936,7209547.382,1511766.446
Recycling,Recycle Anything Remaining,Centralized Composting,Solution Providers,Rhode Island,1185820.358,1330727.55,144907.1918
Prevention,Enhance Product Distribution,Intelligent Routing,Manufacturers,New Mexico,82845.71351,276056.6802,193210.9667
Prevention,Refine Product Management,Waste Tracking (foodservice),Foodservice,Iowa,8836391.645,30814113.71,21977722.06
Prevention,Optimize The Harvest,Partial Order Acceptance,Manufacturers,Maryland,0,291443.011,291443.011
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Foodservice,Oregon,166438.6372,251745.9524,85307.31515
Prevention,Refine Product Management,Waste Tracking (foodservice),Solution Providers,Michigan,0,28354344.12,28354344.12
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Retailers,Minnesota,70138.14517,48673.70178,-21464.44339
Prevention,Enhance Product Distribution,Decreased Transit Time,Retailers,West Virginia,1974456.871,10387391.66,8412934.787
Rescue,Strengthen Food Rescue,Donation Transportation,Foodservice,North Dakota,59039.07982,89299.27343,30260.19362
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Consumers,Kansas,0,19492.71991,19492.71991
Prevention,Refine Product Management,Enhanced Demand Planning,Retailers,Louisiana,3688895.878,69739962.06,66051066.18
Rescue,Strengthen Food Rescue,Donation Value-added Processing,Consumers,Arizona,0,27605763.05,27605763.05
Prevention,Enhance Product Distribution,Intelligent Routing,Foodservice,Wisconsin,406593.8015,1354843,948249.1987
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Government,Kansas,2048599.371,2281316.443,232717.0716
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Consumers,Pennsylvania,0,236881244.8,236881244.8
Prevention,Refine Product Management,Waste Tracking (foodservice),Foodservice,Illinois,43345507.14,151153710.7,107808203.5
Prevention,Refine Product Management,Minimized On Hand Inventory,Retailers,Rhode Island,137324.5021,1709932.011,1572607.509
Recycling,Recycle Anything Remaining,Centralized Composting,Manufacturers,Indiana,0,51312.3667,51312.3667
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Solution Providers,Florida,0,5464843.314,5464843.314
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Consumers,Pennsylvania,0,81464.5422,81464.5422
Prevention,Enhance Product Distribution,Decreased Transit Time,Producers,Michigan,1035030.268,5445175.798,4410145.531
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Government,Montana,501908.8554,558924.7663,57015.91083
Prevention,Reshape Consumer Environments,Standardized Date Labels,Manufacturers,Colorado,165171.7315,912016.2452,746844.5137
Prevention,Optimize The Harvest,Gleaning,Consumers,Nebraska,0,246325.7929,246325.7929
Prevention,Enhance Product Distribution,Intelligent Routing,Retailers,Alaska,1641301.451,5469108.908,3827807.457
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Consumers,Arizona,0,155244.1853,155244.1853
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Solution Providers,North Carolina,11253900.21,15510536.85,4256636.647
Prevention,Reshape Consumer Environments,Standardized Date Labels,Retailers,North Carolina,13586.71877,10940812.25,10927225.53
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Government,Idaho,2346651.386,2613226.611,266575.2252
Prevention,Reshape Consumer Environments,Small Plates,Solution Providers,Georgia,0,911140.1975,911140.1975
Prevention,Optimize The Harvest,Partial Order Acceptance,Foodservice,Delaware,59804.96498,62646.80046,2841.835487
Recycling,Recycle Anything Remaining,Co-digestion At Wastewater Treatment Plants,Government,Oklahoma,2316695.758,2931374.165,614678.4074
Recycling,Recycle Anything Remaining,Livestock Feed,Foodservice,Arkansas,16387.2318,11796.42409,-4590.807709
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Retailers,Kansas,115611.0494,586959.7735,471348.7241
Rescue,Strengthen Food Rescue,Donation Education,Foodservice,Connecticut,276272.9149,417875.2556,141602.3407
Prevention,Optimize The Harvest,Partial Order Acceptance,Foodservice,Wyoming,2252.255256,2359.278794,107.0235375
Prevention,Enhance Product Distribution,First Expired First Out,Manufacturers,New Mexico,8431.671813,32975.06254,24543.39073
Recycling,Recycle Anything Remaining,Livestock Feed,Foodservice,Oregon,21357.64853,15374.40141,-5983.247122
Recycling,Recycle Anything Remaining,Livestock Feed,Retailers,Ohio,10364.80426,7461.151963,-2903.652301
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Solution Providers,Vermont,0,465467.7038,465467.7038
Rescue,Strengthen Food Rescue,Donation Transportation,Foodservice,Kansas,247570.6414,374461.7712,126891.1298
Prevention,Reshape Consumer Environments,Portion Sizes,Solution Providers,Tennessee,0,792230.5386,792230.5386
Rescue,Strengthen Food Rescue,Donation Value-added Processing,Consumers,Washington,0,64546947.77,64546947.77
Prevention,Refine Product Management,Increased Delivery Frequency,Retailers,North Carolina,3513937.359,14950318.59,11436381.23
Prevention,Enhance Product Distribution,Decreased Transit Time,Manufacturers,Virginia,348832.4092,1835167.388,1486334.978
Rescue,Strengthen Food Rescue,Donation Education,Retailers,Minnesota,102675.9761,71253.94928,-31422.02678
Recycling,Recycle Anything Remaining,Livestock Feed,Manufacturers,Kansas,13132.24879,9453.309617,-3678.939171
Prevention,Reshape Consumer Environments,Standardized Date Labels,Manufacturers,Missouri,149802.2705,3047321.968,2897519.697
Prevention,Maximize Product Utilization,Manufacturing Line Optimization,Manufacturers,North Dakota,572467.8852,1259626.41,687158.5251
Prevention,Reshape Consumer Environments,Small Plates,Solution Providers,Illinois,0,1297968.042,1297968.042
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Solution Providers,New Jersey,0,1815795.003,1815795.003
Prevention,Enhance Product Distribution,First Expired First Out,Foodservice,Missouri,107760.5326,421436.0308,313675.4982
Recycling,Recycle Anything Remaining,Home Composting,Consumers,Oklahoma,3606.567628,0,-3606.567628
Prevention,Reshape Consumer Environments,Standardized Date Labels,Retailers,Wisconsin,6970.802749,5134274.625,5127303.822
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),Solution Providers,Arizona,14659673.11,20376945.62,5717272.509
Prevention,Reshape Consumer Environments,K-12 Education Campaigns,Foodservice,California,1713.164295,1713.164295,0
Recycling,Recycle Anything Remaining,Livestock Feed,Manufacturers,Mississippi,5314.141497,3825.409169,-1488.732328
Prevention,Refine Product Management,Markdown Alert Applications,Solution Providers,Alabama,0,18917565.67,18917565.67
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Consumers,Alaska,0,1064240.731,1064240.731
Prevention,Reshape Consumer Environments,Small Plates,Solution Providers,New Jersey,0,875162.0029,875162.0029
Recycling,Recycle Anything Remaining,Centralized Composting,Government,Alabama,10350345.23,9963186.056,-387159.1724
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Retailers,Arkansas,0,3631.046281,3631.046281
