"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
solution_group,solution_priority_action_area,solution_name,state,annual_tons_diversion_potential,annual_mtco2e_reduction_potential,annual_gallons_water_savings_potential,annual_meal_equivalents_diverted,jobs_created,annual_us_dollars_cost,annual_us_dollars_gross_financial_benefit,annual_us_dollars_net_financial_benefit,relevent_for_consumers,relevent_for_foodservice,relevent_for_government,relevent_for_manufacturers,relevent_for_producers,relevent_for_retailers,relevent_for_solution_providers
Prevention,Enhance Product Distribution,Decreased Transit Time,Pennsylvania,34184.89457,80277.68786,6394918603,56974824.28,0,20031818.22,105385103.4,85353285.17,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Washington,34414.50611,48844.12128,3875647803,57357510.18,0,20166367.02,106092949.2,85926582.2,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Kentucky,13659.57168,34971.7896,2860307680,22765952.8,0,8004297.229,42109691.78,34105394.55,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Montana,2105.165614,5090.142929,393865996,3508609.357,0,1233594.412,6489799.039,5256204.627,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Wisconsin,19421.21625,43329.24022,3602190064,32368693.75,0,11380531.62,59871674.56,48491142.94,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Arizona,27424.06862,59429.73578,4483041128,45706781.04,0,16070079.03,84542846.88,68472767.84,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Illinois,37452.14483,85431.38614,6657106636,62420241.38,0,21946376.22,115457373.9,93510997.7,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Virginia,26656.37239,62442.55521,4960817593,44427287.31,0,15620220.94,82176194.93,66555973.99,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Maryland,16843.24545,38719.05603,3034425497,28072075.75,0,9869880.699,51924312.94,42054432.24,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Georgia,29448.16296,71464.45118,5919861992,49080271.61,0,17256166.93,90782719.6,73526552.66,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Wyoming,1910.722301,4620.188595,369190888,3184537.169,0,1119653.645,5890369.703,4770716.058,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Utah,7420.452422,18298.53469,1418798023,12367420.7,0,4348270.073,22875751.28,18527481.2,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,New Hampshire,5376.270741,12242.59161,939474015.5,8960451.236,0,3150411.301,16573953.35,13423542.05,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,North Dakota,3958.377103,6651.785729,577692335.8,6597295.172,0,2319547.612,12202874.56,9883326.947,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,California,138288.634,248476.0685,18281035534,230481056.6,0,81034995.5,426315838.4,345280842.9,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Nebraska,5750.448418,17000.56901,1662337524,9584080.697,0,3369673.619,17727467.31,14357793.69,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Maine,5685.992368,10241.91512,815038727.5,9476653.946,0,3331903.372,17528762.37,14196859,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Tennessee,19763.20498,50520.33551,4168816057,32938674.96,0,11580931.71,60925956.5,49345024.79,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Kansas,8887.936279,23912.04245,2080155163,14813227.13,0,5208192.862,27399706.66,22191513.8,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Oregon,16252.34179,29256.35587,2243290663,27087236.32,0,9523620.314,50102676.67,40579056.36,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Texas,86823.14799,206423.044,16626373210,144705246.6,0,50877018.62,267658173.1,216781154.4,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Idaho,14131.55164,12715.56911,1106287328,23552586.07,0,8280870.167,43564710.36,35283840.19,No,Yes,No,Yes,Yes,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Alaska,2063.005207,4882.333649,395732967.8,3438342.012,0,1208889.067,6359827.046,5150937.979,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Decreased Transit Time,Alabama,12886.61937,35673.20026,3115493537,21477698.95,0,7551359.159,39726836.42,32175477.26,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Oklahoma,3839.975164,9671.699656,710955968.6,6399958.607,0,3464419.97,13548851.01,10084431.04,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,North Carolina,19869.73854,44511.15939,3310756255,33116230.9,0,17926449.01,70107778.2,52181329.18,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Colorado,14309.7325,30198.22051,2156775106,23849554.17,0,12910219.71,50490022.84,37579803.12,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Mississippi,5027.506431,12664.95593,1016875424,8379177.385,0,4535808.94,17738900.04,13203091.1,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Florida,45518.75068,98807.6525,7117851609,75864584.46,0,41066950.21,160606968.7,119540018.5,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Delaware,1811.982103,4344.032739,337742837.1,3019970.171,0,1634767.6,6393342.273,4758574.673,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Vermont,978.4078401,2177.161065,156746664.2,1630679.734,0,882718.1207,3452184.321,2569466.2,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Louisiana,8378.897492,19605.16264,1494070355,13964829.15,0,7559429.048,29563845.84,22004416.79,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Nevada,7019.740186,14053.47451,953262010.1,11699566.98,0,6333199.317,24768236.74,18435037.42,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,New York,28481.19949,57672.19683,3973557384,47468665.82,0,25695696.48,100492193.9,74796497.37,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,West Virginia,2268.308032,5412.108118,385443737.7,3780513.387,0,2046464.185,8003428.737,5956964.552,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,New Jersey,16413.49272,33279.53214,2278797349,27355821.19,0,14808229.09,57912866.07,43104636.98,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,South Carolina,9489.687615,21759.22828,1628490249,15816146.02,0,8561582.27,33483123.76,24921541.49,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,New Mexico,3177.935655,6760.817334,458726257.8,5296559.424,0,2867128.894,11212931.04,8345802.146,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Hawaii,1745.048001,3465.02609,239301513.1,2908413.335,0,1574379.751,6157174.034,4582794.283,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Arkansas,3897.402662,9917.290736,741022768.8,6495671.103,0,3516230.975,13751476.44,10235245.47,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Missouri,10786.61541,25623.00607,1978617560,17977692.35,0,9731668.626,38059164.15,28327495.52,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Connecticut,7718.386019,16124.86529,1179516482,12863976.7,0,6963516.564,27233317.34,20269800.77,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,South Dakota,1633.371401,4172.3889,342004114.3,2722285.669,0,1473625.287,5763137.734,4289512.447,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Indiana,13401.29025,30041.22136,2190105767,22335483.75,0,12090624.44,47284702.95,35194078.51,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Iowa,5086.590474,12968.60024,1026353412,8477650.79,0,4589114.477,17947370.37,13358255.89,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Massachusetts,15910.66924,31556.47731,2183370416,26517782.07,0,14354582.49,56138719.1,41784136.6,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Rhode Island,1540.09583,3225.551861,222258040.1,2566826.384,0,1389472.203,5434027.06,4044554.857,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Ohio,20993.03724,45612.76019,3234855914,34988395.4,0,18939887.46,74071191.01,55131303.55,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Michigan,19210.38587,41818.01626,3033409703,32017309.78,0,17331582,67781338.39,50449756.39,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Minnesota,10693.45713,23062.5533,1662885568,17822428.56,0,9647621.367,37730467.34,28082845.97,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Pennsylvania,21990.80061,47582.35726,3397164884,36651334.35,0,19840068.11,77591668.79,57751600.68,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Washington,14490.18099,28807.4649,1952393708,24150301.64,0,13073020.07,51126711.74,38053691.68,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Kentucky,8665.793177,20419.23426,1540219868,14442988.63,0,7818265.915,30576119.8,22757853.89,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Wisconsin,10092.07648,22618.16519,1674352849,16820127.47,0,9105056.625,35608574.23,26503517.6,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Montana,1318.071096,2891.325974,203844082,2196785.16,0,1189161.813,4650641.772,3461479.959,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Arizona,17573.09969,36190.06692,2516439026,29288499.48,0,15854424.81,62004387.88,46149963.07,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Illinois,24176.03511,50636.80157,3568769160,40293391.85,0,21811583.48,85301983.41,63490399.94,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Virginia,17061.16525,36688.70231,2663604179,28435275.42,0,15392558.31,60198094.06,44805535.75,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Maryland,11149.80221,23886.24313,1710574633,18583003.69,0,10059335.23,39340621.37,29281286.14,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Georgia,18430.2983,41150.57791,2993187817,30717163.84,0,16627788.14,65028901.27,48401113.13,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Wyoming,1243.270131,2842.365108,214251113.5,2072116.885,0,1121676.492,4386716.333,3265039.841,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Utah,4544.913333,10121.31471,705930985.3,7574855.555,0,4100414.154,16036133.3,11935719.15,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,New Hampshire,3553.588645,7739.684621,552383692.7,5922647.742,0,3206042.472,12538373.57,9332331.099,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,North Dakota,1668.816295,4014.642201,317405678.3,2781360.491,0,1505603.617,5888200.412,4382596.794,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,California,81148.55833,149580.6786,9757534111,135247597.2,0,73212110.5,286322093.1,213109982.6,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Nebraska,3014.529832,8022.832242,664348266.8,5024216.386,0,2719704.4,10636374.93,7916670.528,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Maine,2966.118603,6242.034289,446176490.7,4943531.005,0,2676027.86,10465562.23,7789534.368,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Tennessee,12752.22391,29852.10125,2266095526,21253706.51,0,11505037.73,44994557.1,33489519.36,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Kansas,5550.961464,13117.80642,1017993833,9251602.44,0,5008069.305,19585842.78,14577773.48,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Texas,55743.0267,123778.6109,9068090878,92905044.51,0,50291277.07,196681991.8,146390714.7,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Oregon,8773.862565,17821.97905,1228719604,14623104.28,0,7915765.959,30957428.53,23041662.57,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Idaho,2748.149121,5889.167559,405251246.9,4580248.534,0,2479376.113,9696485.368,7217109.256,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Alabama,8311.332968,20349.1072,1589016528,13852221.61,0,7498472.433,29325453.23,21826980.8,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,First Expired First Out,Alaska,1348.488785,2925.639963,214150205.4,2247481.309,0,1216604.607,4757966.617,3541362.01,No,Yes,No,Yes,No,Yes,No
Prevention,Enhance Product Distribution,Intelligent Routing,Oklahoma,6927.915131,18716.89674,1389305357,11546525.22,10.5061833,5519095.841,23909706.67,18390610.83,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,North Carolina,33280.59583,76138.14904,5697805475,55467659.71,50.47002357,25671143.98,111211970.2,85540826.23,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Colorado,24151.45555,50386.59294,3588557806,40252425.91,36.62568234,18201818.28,78853520.29,60651702.01,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Mississippi,8288.880097,21522.36743,1743809911,13814800.16,12.57008667,6485239.986,28095215.26,21609975.28,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Florida,75223.92303,164235.2477,11613451298,125373205,114.0770793,58387456.54,252944866.2,194557409.6,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Delaware,2968.855356,7665.456102,616760036.1,4948092.26,4.502269147,2365126.728,10246150.44,7881023.716,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Vermont,1855.651063,4344.520833,319913231.4,3092751.772,2.814094838,1478296.987,6404245.976,4925948.989,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Louisiana,13407.92044,31988.63785,2369160460,22346534.06,20.33311134,10681366.11,46273581.39,35592215.27,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Nevada,11269.79485,24058.56875,1623856148,18782991.41,17.09064389,8978036.928,38894455.82,29916418.9,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,New York,47741.4772,100721.85,6938125120,79569128.67,72.39995018,37444544.3,162216438.4,124771894.1,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,West Virginia,4003.6542,10012.07513,709544012.5,6672757,6.071541594,3189495.083,13817461.06,10627965.97,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,New Jersey,26313.42424,55695.33193,3789761955,43855707.06,39.90430785,20920658.13,90632019.02,69711360.89,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,South Carolina,15530.60324,36472.45988,2693571279,25884338.73,23.55215981,12234826.57,53003448.9,40768622.33,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,New Mexico,5701.589915,12267.23816,846173273.4,9502649.858,8.646461106,4285490.218,18565507.28,14280017.07,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Hawaii,2771.808815,5893.615515,401190153.7,4619681.358,4.203448068,2202681.467,9542408.624,7339727.157,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Arkansas,7154.466457,20583.29822,1677109909,11924110.76,10.84974838,5699577.048,24691583.41,18992006.37,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Missouri,18001.91431,44214.93049,3371340165,30003190.52,27.29990305,14341152.93,62128430.05,47787277.12,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Connecticut,12119.17641,25738.71948,1832376996,20198627.36,18.37873103,9654693.351,41825852.03,32171158.67,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,South Dakota,2801.652971,7536.899878,623936888.8,4669421.618,4.248706731,2231925.618,9669099.499,7437173.88,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Indiana,22866.64285,53193.44955,3872665165,38111071.42,34.67726389,18069039.82,78278300.34,60209260.52,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Iowa,9257.586629,26033.04397,2180177128,15429311.05,14.03913012,7375019.309,31949897.85,24574878.54,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Massachusetts,25592.41074,53109.21747,3660456765,42654017.89,38.81089088,20383802.33,88306264.02,67922461.69,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Rhode Island,2500.267749,5528.196016,377944424.5,4167112.914,3.791656041,1991828.288,8628955.08,6637126.792,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Ohio,35426.91661,81132.03017,5728518906,59044861.02,53.72491904,28211695,122218090,94006394.96,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Michigan,33250.85363,71456.08108,5129816250,55418089.39,50.42491954,25191416.76,109133706.4,83942289.65,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Minnesota,19425.65423,42160.02148,3117819249,32376090.38,29.45900464,14553825.33,63049764.78,48495939.45,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Pennsylvania,36736.56117,82951.05881,5924240996,61227601.94,55.71099501,29127324.82,126184761.5,97057436.67,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Washington,34764.40246,50746.51691,3684720371,57940670.77,52.72021633,18832298.94,81584874.86,62752575.92,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Kentucky,14591.23829,35652.87368,2659346221,24318730.48,22.12761286,11624051.54,50357462.63,38733411.09,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Montana,2265.627929,5300.514319,375910521.1,3776046.548,3.435824754,1804903.415,7819163.223,6014259.807,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Wisconsin,20683.0619,44932.35628,3421782173,34471769.83,31.36586337,14988372.72,64932301.52,49943928.79,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Arizona,28894.46855,61511.95216,4244130061,48157447.59,43.81846156,22825492.39,98884100.45,76058608.06,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Illinois,39381.27215,87040.63317,6139207015,65635453.58,59.72169922,31345959.67,135796283,104450323.4,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Virginia,27965.07813,63046.85553,4551617980,46608463.54,42.40904098,22214985.63,96239276.36,74024290.73,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Maryland,17943.61211,39726.3101,2786351727,29906020.18,27.21148777,14294706.72,61927216.78,47632510.05,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Georgia,31145.67051,71965.89521,5329273128,51909450.85,47.23240933,23980997.1,103889952.8,79908955.65,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Wyoming,1999.795454,4652.820272,340993958.2,3332992.423,3.032689806,1593129.039,6901718.886,5308589.847,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,Utah,8146.594377,19514.4027,1390187140,13577657.3,12.35431037,6489951.782,28115627.6,21625675.82,No,Yes,No,Yes,No,Yes,Yes
Prevention,Enhance Product Distribution,Intelligent Routing,New Hampshire,5768.025247,12865.08885,901809070.3,9613375.412,8.747210288,4595074.211,19906680.31,15311606.1,No,Yes,No,Yes,No,Yes,Yes
