"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,
,,,,,,
,,,,,,
solution_group,solution_priority_action_area,solution_name,stakeholder,annual_us_dollars_cost,annual_us_dollars_gross_financial_benefit,annual_us_dollars_net_financial_benefit
Prevention,Enhance Product Distribution,Intelligent Routing,Solution Providers,0,806393929.1,806393929.1
Rescue,Strengthen Food Rescue,Donation Transportation,Manufacturers,3407897.97,2438302.041,-969595.9291
Prevention,Enhance Product Distribution,Intelligent Routing,Retailers,752126044.4,2506218006,1754091962
Prevention,Enhance Product Distribution,First Expired First Out,Foodservice,5579538.404,21820776.7,16241238.29
Recycling,Recycle Anything Remaining,Centralized Composting,Government,800977208,771016306.6,-29960901.41
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Manufacturers,77285121.41,71684496.43,-5600624.983
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Retailers,4082522.059,2833143.944,-1249378.115
Prevention,Refine Product Management,Markdown Alert Applications,Foodservice,860030697.8,2659157716,1799127018
Prevention,Refine Product Management,Enhanced Demand Planning,Retailers,274503936.8,5189600025,4915096088
Prevention,Reshape Consumer Environments,Standardized Date Labels,Consumers,0,1806894260,1806894260
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Solution Providers,317441619.6,0,-317441619.6
Prevention,Enhance Product Distribution,First Expired First Out,Manufacturers,5009595.628,19591812.01,14582216.38
Prevention,Optimize The Harvest,Partial Order Acceptance,Manufacturers,0,38276140.88,38276140.88
Rescue,Strengthen Food Rescue,Donation Transportation,Government,36215102.87,0,-36215102.87
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Foodservice,5004755.816,13246382.68,8241626.863
Prevention,Reshape Consumer Environments,Meal Kits,Retailers,0,1745758.12,1745758.12
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Foodservice,0,635791.2742,635791.2742
Prevention,Enhance Product Distribution,Decreased Transit Time,Manufacturers,15031824.83,79080710.34,64048885.51
